time	conversion	overall_conversion
1823.69	0.205345	0.205345
1833.69	0.206284	0.206284
1843.69	0.207738	0.207738
1853.69	0.209175	0.209175
1863.69	0.210623	0.210623
1873.69	0.212062	0.212062
1883.81	0.213284	0.213284
1893.81	0.214136	0.214136
1903.92	0.215601	0.215601
1913.92	0.217388	0.217388
1923.92	0.219203	0.219203
1934.01	0.220742	0.220742
1944.7	0.221749	0.221749
1954.7	0.223344	0.223344
1964.7	0.224896	0.224896
1974.7	0.226591	0.226591
1984.72	0.228435	0.228435
1994.89	0.229375	0.229375
2004.89	0.230844	0.230844
2014.89	0.231851	0.231851
2024.89	0.234011	0.234011
2035.03	0.23507	0.23507
2045.03	0.236732	0.236732
2055.12	0.238173	0.238173
2065.12	0.239894	0.239894
2075.12	0.240959	0.240959
2085.53	0.241995	0.241995
2095.53	0.24291	0.24291
2105.53	0.243678	0.243678
2115.53	0.245681	0.245681
2125.53	0.247532	0.247532
2135.86	0.249196	0.249196
2145.86	0.250748	0.250748
2155.86	0.252271	0.252271
2165.86	0.254148	0.254148
2175.86	0.256503	0.256503
2185.86	0.258432	0.258432
2195.86	0.260229	0.260229
2206.38	0.261999	0.261999
2216.38	0.262648	0.262648
2226.85	0.263096	0.263096
2237.56	0.264364	0.264364
2247.56	0.265948	0.265948
2257.56	0.267085	0.267085
2267.59	0.267638	0.267638
2277.59	0.269019	0.269019
2287.59	0.271282	0.271282
2297.59	0.274347	0.274347
2307.59	0.276321	0.276321
2317.59	0.277807	0.277807
2327.59	0.279685	0.279685
2337.59	0.281565	0.281565
2348.99	0.284196	0.284196
2358.99	0.286296	0.286296
2368.99	0.28826	0.28826
2378.99	0.290505	0.290505
2389.08	0.291641	0.291641
2399.08	0.29247	0.29247
2409.93	0.294173	0.294173
2419.93	0.295869	0.295869
2429.93	0.297602	0.297602
2439.93	0.299192	0.299192
2451.55	0.302104	0.302104
2461.81	0.302853	0.302853
2471.81	0.304939	0.304939
2481.81	0.306851	0.306851
2491.81	0.30881	0.30881
2501.81	0.310888	0.310888
2511.81	0.313299	0.313299
2521.81	0.316535	0.316535
2531.81	0.318397	0.318397
2542.37	0.320168	0.320168
2552.37	0.32384	0.32384
2562.41	0.325508	0.325508
2572.41	0.327528	0.327528
2582.41	0.329936	0.329936
2592.55	0.330562	0.330562
2603.17	0.331327	0.331327
2614.37	0.332082	0.332082
2624.8	0.332283	0.332283
2635.78	0.332533	0.332533
2645.78	0.332746	0.332746
2656.18	0.332948	0.332948
2666.52	0.333031	0.333031
2676.7	0.333097	0.333097
2686.86	0.333136	0.333136
2697.05	0.333193	0.333193
2707.87	0.333296	0.333296
2718.13	0.333373	0.333373
2728.56	0.333438	0.333438
2738.91	0.333478	0.333478
2749.16	0.333527	0.333527
2759.45	0.333591	0.333591
2769.6	0.333633	0.333633
2780.32	0.333705	0.333705
2791.42	0.333782	0.333782
2801.42	0.33384	0.33384
2811.76	0.333896	0.333896
2822.2	0.333963	0.333963
2832.45	0.33417	0.33417
2842.83	0.334514	0.334514
2853.05	0.334825	0.334825
2863.29	0.336338	0.336338
2873.3	0.337797	0.337797
2883.3	0.339342	0.339342
2893.3	0.341253	0.341253
2903.3	0.341838	0.341838
2913.3	0.343605	0.343605
2923.3	0.346061	0.346061
2933.3	0.348338	0.348338
2943.3	0.350699	0.350699
2953.58	0.352347	0.352347
2963.84	0.352992	0.352992
2974.94	0.354012	0.354012
2984.94	0.357118	0.357118
2995.55	0.360833	0.360833
3005.55	0.363831	0.363831
3016.39	0.366845	0.366845
3026.39	0.370684	0.370684
3036.39	0.373146	0.373146
3046.39	0.376437	0.376437
3056.39	0.379364	0.379364
3067.56	0.382662	0.382662
3077.56	0.385744	0.385744
3087.56	0.389611	0.389611
3097.64	0.39377	0.39377
