conversion	Mn	Mw
0.333963	169290	481569
0.33417	168609	481334
0.334514	168243	480938
0.334825	167863	480575
0.336338	167974	482058
0.337797	168211	482400
0.339342	168419	483144
0.341253	168780	483399
0.341838	168582	482911
0.343605	168952	483674
0.346061	169754	491548
0.348338	170285	493330
0.350699	171187	501222
0.352347	171698	506452
0.352992	171439	505920
0.354012	171503	505559
0.357118	172435	509182
0.360833	173724	519139
0.363831	174816	534427
0.366845	175826	538744
0.370684	177000	544799
0.373146	177396	545536
0.376437	178451	549080
0.379364	179440	559392
0.382662	180415	566816
0.385744	181325	570692
0.389611	182655	584094
0.39377	184013	594625
0.398149	185625	616127
0.399489	185902	616989
0.403603	187233	631050
0.406261	187898	646729
0.406643	187596	646246
0.407735	187550	646280
0.410789	188549	650716
0.414883	189788	658424
0.420676	191895	696086
0.424986	193257	705398
0.428599	194515	712625
0.431185	195156	715343
0.43162	194837	714810
0.431953	194546	714360
0.434251	194980	717495
0.439676	197031	757530
0.444498	198730	774128
0.449631	200277	787712
0.455019	202090	801067
0.461171	204110	813136
0.467082	206192	835326
0.467666	206085	834576
0.469463	206254	834035
0.475325	208187	848684
0.479146	209324	862254
0.479812	209111	861517
0.485356	210729	867738
0.491956	212792	887585
0.498848	215197	902575
0.500704	215345	904291
0.50121	215161	903855
0.506092	216728	916302
0.512555	218838	930342
0.519949	221410	960570
0.530913	225341	998730
0.536451	227175	1.04333e+06
0.53763	227337	1.04479e+06
0.538741	227292	1.04462e+06
0.539872	227320	1.04439e+06
0.540993	227233	1.04382e+06
0.542084	227149	1.0431e+06
0.543168	227205	1.04231e+06
0.544252	227293	1.04161e+06
0.545341	227351	1.04085e+06
0.546435	227316	1.04007e+06
0.547517	227103	1.03921e+06
0.548564	226892	1.03828e+06
0.549605	226868	1.03737e+06
0.550637	226668	1.03645e+06
0.551662	226513	1.03571e+06
0.552686	226654	1.03472e+06
0.55372	226627	1.03378e+06
0.554741	226518	1.0328e+06
0.555741	226170	1.03182e+06
0.556725	226001	1.03082e+06
0.557726	226040	1.02984e+06
0.558727	225940	1.02884e+06
0.559727	225978	1.02785e+06
0.560726	226152	1.02701e+06
0.56173	225994	1.02601e+06
0.562717	225889	1.02504e+06
0.563691	225962	1.02417e+06
0.564675	225932	1.0232e+06
0.565658	225933	1.02225e+06
0.566637	225917	1.02131e+06
0.56761	225808	1.02035e+06
0.568565	225737	1.01942e+06
0.569521	225682	1.01848e+06
