conversion num_unsaturated num_saturated num_HHbond
0.294173 4492 4263 1546
0.295869 4507 4276 1551
0.297602 4518 4286 1557
0.299192 4533 4299 1560
0.302104 4551 4314 1568
0.302853 4565 4328 1573
0.304939 4588 4349 1578
0.306851 4611 4367 1583
0.30881 4626 4381 1588
0.310888 4645 4397 1591
0.313299 4665 4415 1595
0.316535 4684 4431 1600
0.318397 4706 4452 1607
0.320168 4713 4459 1611
0.32384 4722 4467 1620
0.325508 4737 4482 1622
0.327528 4757 4499 1627
0.329936 4774 4514 1629
0.330562 4787 4526 1638
0.331327 4801 4540 1649
0.332082 4827 4565 1659
0.332283 4841 4578 1668
0.332533 4865 4602 1673
0.332746 4886 4623 1676
0.332948 4901 4638 1682
0.333031 4915 4652 1683
0.333097 4926 4663 1691
0.333136 4941 4678 1694
0.333193 4950 4687 1701
0.333296 4973 4710 1705
0.333373 4992 4729 1709
0.333438 5005 4742 1719
0.333478 5019 4756 1726
0.333527 5031 4768 1729
0.333591 5048 4785 1729
0.333633 5061 4798 1738
0.333705 5079 4816 1747
0.333782 5098 4835 1759
0.33384 5114 4851 1764
0.333896 5129 4866 1773
0.333963 5143 4880 1778
0.33417 5169 4906 1781
0.334514 5187 4923 1784
0.334825 5203 4939 1790
0.336338 5222 4956 1800
0.337797 5237 4971 1805
0.339342 5254 4986 1811
0.341253 5273 5003 1817
0.341838 5287 5017 1822
0.343605 5304 5033 1827
0.346061 5318 5046 1829
0.348338 5335 5062 1838
0.350699 5343 5069 1841
0.352347 5353 5077 1846
0.352992 5371 5094 1852
0.354012 5386 5109 1853
0.357118 5403 5124 1860
0.360833 5421 5139 1865
0.363831 5430 5148 1868
0.366845 5445 5162 1874
0.370684 5464 5180 1878
0.373146 5490 5203 1886
0.376437 5507 5217 1893
0.379364 5520 5228 1897
0.382662 5540 5247 1901
0.385744 5557 5262 1905
0.389611 5572 5273 1911
0.39377 5591 5291 1919
0.398149 5604 5302 1921
0.399489 5616 5314 1925
